"n","sigma2","k","pffr","pffr_sd"
200,1,5,0.114874931358332,0.00386141639860757
200,1,10,0.10735721268421,0.00406610506081555
200,1,20,0.10605321984948,0.00596324396565638
200,1,40,0.104689865543893,0.00359565957273087
200,4,5,0.317440114537108,0.00444647693615384
200,4,10,0.314842358869945,0.0130064160628136
200,4,20,0.312249179461016,0.0093390032731316
200,4,40,0.317106163090637,0.00639202485569396
500,1,5,0.113476354323763,0.00407911557944486
500,1,10,0.10800299809082,0.00171647426999693
500,1,20,0.109697376353933,0.00147495516409802
500,1,40,0.10764456700164,0.0057691936670362
500,4,5,0.317046870513721,0.0117918501390085
500,4,10,0.320082393968865,0.00853606506615113
500,4,20,0.317103120011201,0.00751594993392534
500,4,40,0.305733132902066,0.00797836491417662
